startup_id,industry,founding_year,macro_climate,market_size_score,competition_intensity,founder_prior_exits,prior_failures,domain_experience_years,technical_cofounder,n_cofounders,cofounder_conflict,team_completeness,age_of_founder,funding_path,total_raised_usd,monthly_burn_rate,runway_months,product_market_fit_score,did_customer_validation,premature_scaling,pivots,unit_economics_score,marketing_effectiveness,weekly_hours,years_to_outcome,failure_reason,outcome,survived_5y,failed
STP000000,services,2017,2.9,0.0,0.3,0,0,5.3,1,3,6.4,3.4,37,vc_series_a_plus,13264000.0,699600.0,19.0,5.5,1,0,0,2.9,7.5,51,2.7,team_conflict,failed,0,1
STP000001,marketplace,2016,7.0,6.6,2.7,0,0,1.7,0,2,1.5,4.9,33,bootstrapped,11000.0,700.0,15.7,1.9,0,0,0,3.6,5.9,57,1.5,no_market_need,failed,0,1
STP000002,services,2017,6.7,3.4,3.5,0,0,3.8,0,2,4.9,7.1,33,angel,201000.0,9400.0,21.4,6.6,0,1,3,7.0,5.6,51,3.4,no_market_need,failed,0,1
STP000003,tech_saas,2012,4.4,7.7,5.5,0,0,3.1,0,1,0.0,3.4,35,bootstrapped,35000.0,1500.0,23.3,4.2,0,1,1,4.8,6.8,73,3.2,ran_out_of_cash,failed,0,1
STP000004,consumer_app,2008,5.8,4.0,7.7,0,0,1.3,0,1,0.7,3.7,31,vc_seed,3070000.0,91200.0,33.7,4.5,1,0,0,5.0,2.4,57,1.5,poor_marketing,failed,0,1
STP000005,agriculture,2016,5.8,7.0,4.3,1,1,2.8,1,1,0.0,5.2,28,angel,117000.0,4900.0,23.9,6.8,1,0,1,5.5,9.3,65,7.4,survived,still_operating,1,0
STP000006,hardware,2020,3.7,5.0,2.0,0,0,15.2,0,2,1.2,2.6,36,bootstrapped,22000.0,600.0,36.7,8.0,0,1,0,3.9,5.6,66,7.9,team_conflict,failed,1,1
STP000007,food_bev,2014,7.7,3.8,8.6,0,0,6.0,1,1,5.5,9.2,37,vc_series_a_plus,3140000.0,176500.0,17.8,4.2,0,1,1,0.7,3.9,85,9.1,survived,still_operating,1,0
STP000008,tech_saas,2009,4.5,7.9,2.9,0,0,7.5,1,2,8.1,10.0,35,vc_seed,1895000.0,189100.0,10.0,5.7,0,1,1,4.1,4.1,48,10.1,survived,still_operating,1,0
STP000009,biotech,2016,2.3,7.1,6.7,1,0,0.9,1,3,6.5,3.6,26,vc_series_a_plus,12476000.0,405600.0,30.8,8.1,1,1,1,5.3,10.0,43,1.1,team_conflict,failed,0,1
STP000010,services,2011,5.2,8.4,5.3,1,0,1.8,1,4,3.8,3.3,39,bootstrapped,14000.0,800.0,17.5,5.4,0,0,0,5.4,6.2,58,9.4,survived,still_operating,1,0
STP000011,tech_saas,2009,6.1,1.2,7.5,0,1,2.4,1,1,1.9,4.0,36,bootstrapped,5000.0,500.0,10.0,2.7,1,0,2,5.7,8.3,79,8.0,survived,still_operating,1,0
STP000012,ecommerce,2021,1.6,6.0,1.2,1,0,8.6,1,2,3.4,8.4,28,bootstrapped,6000.0,500.0,12.0,2.5,0,0,0,4.4,4.6,50,5.3,no_market_need,failed,1,1
STP000013,services,2014,4.6,5.5,7.3,0,0,1.4,1,2,6.7,3.3,26,bootstrapped,23000.0,1500.0,15.3,2.1,0,0,3,4.5,1.3,89,4.7,no_market_need,failed,0,1
STP000014,agriculture,2014,4.7,7.3,7.0,0,0,5.7,0,1,0.0,6.2,34,vc_series_a_plus,17754000.0,1258400.0,14.1,1.5,1,0,0,2.2,8.2,53,2.1,no_market_need,failed,0,1
STP000015,food_bev,2009,1.7,0.3,5.6,0,0,5.6,1,2,6.3,1.7,35,vc_series_a_plus,5804000.0,343700.0,16.9,3.7,0,0,0,2.7,4.9,62,8.0,survived,still_operating,1,0
STP000016,healthtech,2014,3.8,3.1,6.8,0,0,1.4,0,4,2.1,7.4,48,vc_seed,669000.0,20900.0,32.0,9.1,1,1,1,3.4,4.7,57,1.1,no_market_need,failed,0,1
STP000017,fintech,2016,6.0,6.1,7.6,0,0,12.3,0,3,1.2,5.1,29,angel,61000.0,5300.0,11.5,8.8,1,1,0,5.2,7.6,49,1.5,team_conflict,failed,0,1
STP000018,tech_saas,2017,4.3,3.7,7.8,1,1,2.0,0,1,2.2,9.3,27,angel,123000.0,10200.0,12.1,0.0,1,0,1,3.0,4.6,30,0.6,no_market_need,failed,0,1
STP000019,services,2021,3.0,5.1,5.8,2,0,4.5,1,2,5.4,9.0,33,vc_series_a_plus,24298000.0,1120000.0,21.7,4.1,0,0,0,1.9,5.9,43,1.7,outcompeted,failed,0,1
STP000020,fintech,2015,4.5,5.0,5.0,0,0,4.2,0,2,1.2,3.7,19,vc_seed,2029000.0,127400.0,15.9,4.7,0,1,1,6.9,4.7,56,4.1,product_issues,failed,0,1
STP000021,tech_saas,2008,7.4,2.8,5.6,0,0,0.4,1,2,2.2,1.7,36,vc_seed,1728000.0,67600.0,25.6,4.2,0,0,1,5.2,4.4,71,2.0,outcompeted,failed,0,1
STP000022,fintech,2021,7.0,7.5,7.1,0,0,3.6,1,1,5.1,3.0,32,vc_seed,228000.0,15600.0,14.6,4.1,0,0,0,2.9,8.6,73,4.8,team_conflict,failed,0,1
STP000023,agriculture,2019,5.9,6.4,3.4,0,0,5.1,1,1,1.7,5.9,34,bootstrapped,8000.0,500.0,16.0,7.4,0,1,3,3.4,8.5,44,14.3,survived,still_operating,1,0
STP000024,healthtech,2017,4.4,3.7,5.3,0,0,4.6,1,4,5.2,10.0,48,vc_seed,1541000.0,77000.0,20.0,1.3,1,1,0,7.8,7.4,63,5.3,survived,still_operating,1,0
STP000025,services,2010,6.8,4.6,2.0,0,2,5.7,1,2,7.2,3.7,24,bootstrapped,14000.0,2200.0,6.4,3.4,0,0,0,4.4,4.4,46,9.1,survived,still_operating,1,0
STP000026,biotech,2011,3.7,4.5,6.4,0,1,4.0,0,2,5.5,3.7,29,angel,297000.0,9300.0,31.9,6.3,0,0,1,1.7,5.1,48,13.1,survived,still_operating,1,0
STP000027,ecommerce,2014,2.9,2.5,2.0,0,0,10.9,0,1,4.4,2.8,29,vc_seed,1867000.0,348400.0,5.4,2.8,1,0,1,9.8,3.4,46,2.5,ran_out_of_cash,failed,0,1
STP000028,tech_saas,2016,7.9,4.4,8.8,0,1,1.4,0,2,5.3,0.0,41,vc_series_a_plus,4399000.0,182500.0,24.1,0.0,0,0,0,5.1,3.4,75,1.4,legal_regulatory,failed,0,1
STP000029,biotech,2015,5.5,2.9,3.8,0,0,7.3,0,1,8.4,2.7,50,bootstrapped,76000.0,5100.0,14.9,2.8,0,0,0,7.3,5.2,60,6.6,no_market_need,failed,1,1
STP000030,food_bev,2020,5.1,8.1,6.3,0,0,4.6,1,1,3.8,3.1,25,vc_seed,527000.0,17800.0,29.6,2.7,0,1,2,4.7,7.3,50,14.8,survived,still_operating,1,0
STP000031,healthtech,2011,5.0,1.1,0.7,0,0,2.1,0,2,5.2,3.6,28,angel,475000.0,19500.0,24.4,3.4,0,1,0,1.4,4.5,43,7.4,no_market_need,failed,1,1
STP000032,tech_saas,2012,3.3,1.7,7.2,0,0,11.6,1,1,4.9,5.1,33,vc_seed,317000.0,14900.0,21.3,6.5,1,0,2,4.5,4.8,60,4.3,pricing_cost,failed,0,1
STP000033,marketplace,2010,5.3,5.6,7.7,0,0,3.2,1,2,4.9,5.8,19,vc_series_a_plus,20676000.0,869700.0,23.8,3.5,0,1,1,6.0,2.4,53,1.7,outcompeted,failed,0,1
STP000034,consumer_app,2008,7.8,6.3,9.7,0,0,4.9,1,2,2.3,9.7,42,angel,197000.0,8900.0,22.1,2.5,0,1,0,4.1,6.0,63,3.0,team_conflict,failed,0,1
STP000035,tech_saas,2013,3.9,8.7,6.3,1,0,3.2,1,1,0.8,4.4,29,angel,112000.0,8400.0,13.3,4.6,1,0,2,6.1,5.6,70,9.9,no_market_need,failed,1,1
STP000036,ecommerce,2011,4.8,7.0,2.8,2,1,2.5,1,3,10.0,10.0,25,angel,93000.0,5900.0,15.8,3.9,1,0,2,7.4,3.7,56,11.4,survived,still_operating,1,0
STP000037,agriculture,2020,2.6,5.7,5.1,1,0,2.3,1,1,2.9,6.4,32,bootstrapped,76000.0,2400.0,31.7,7.5,1,0,2,7.2,7.2,53,5.2,survived,acquired,1,0
STP000038,healthtech,2018,6.1,4.0,5.3,0,1,9.7,1,1,5.7,5.2,19,vc_series_a_plus,10101000.0,388700.0,26.0,4.1,1,1,0,2.1,2.4,57,0.4,outcompeted,failed,0,1
STP000039,agriculture,2012,5.0,5.5,6.8,0,0,2.9,0,1,6.7,6.0,26,bootstrapped,10000.0,500.0,20.0,1.8,1,1,0,5.3,6.7,78,4.8,ran_out_of_cash,failed,0,1
STP000040,healthtech,2019,5.4,7.8,2.5,0,0,2.8,0,1,0.0,8.0,28,bootstrapped,1000.0,500.0,2.0,0.3,0,1,2,6.3,5.0,69,10.8,survived,still_operating,1,0
STP000041,food_bev,2011,2.4,2.0,2.5,0,0,4.1,1,2,1.5,1.2,36,angel,183000.0,10800.0,16.9,4.1,1,0,1,7.0,6.2,66,4.9,no_market_need,failed,0,1
STP000042,ecommerce,2010,7.1,6.9,4.7,0,0,1.2,0,3,5.0,5.1,19,bootstrapped,16000.0,600.0,26.7,9.6,0,1,0,4.2,1.9,62,1.2,outcompeted,failed,0,1
STP000043,tech_saas,2010,0.6,5.6,6.9,0,1,3.8,1,2,3.8,4.3,41,vc_series_a_plus,5461000.0,221600.0,24.6,1.8,0,0,0,2.3,5.4,68,1.6,pricing_cost,failed,0,1
STP000044,agriculture,2015,4.4,9.1,7.5,0,0,1.3,1,2,3.4,5.6,37,vc_series_a_plus,7342000.0,328500.0,22.4,6.5,1,1,0,5.3,4.4,47,6.2,ran_out_of_cash,failed,1,1
STP000045,agriculture,2012,8.6,3.6,4.6,0,0,15.7,1,2,2.0,2.0,30,bootstrapped,18000.0,600.0,30.0,5.1,1,0,1,8.7,7.8,46,7.5,survived,still_operating,1,0
STP000046,consumer_app,2018,5.8,4.7,4.8,0,1,3.6,1,3,3.7,7.5,27,angel,16000.0,1000.0,16.0,6.4,0,0,0,5.1,5.8,64,2.9,ran_out_of_cash,failed,0,1
STP000047,tech_saas,2011,4.2,4.5,4.5,0,0,2.7,0,1,5.0,2.4,37,vc_series_a_plus,15084000.0,490200.0,30.8,6.2,0,1,1,6.2,0.0,51,2.6,ran_out_of_cash,failed,0,1
STP000048,tech_saas,2009,7.5,5.2,6.3,0,0,7.3,1,1,9.1,6.1,30,vc_seed,1913000.0,64200.0,29.8,2.5,0,0,0,4.1,3.7,60,5.8,survived,still_operating,1,0
STP000049,services,2019,7.7,6.1,5.8,0,1,2.8,1,1,4.9,4.5,27,bootstrapped,23000.0,1300.0,17.7,3.8,1,0,2,3.2,5.1,51,8.6,survived,still_operating,1,0
STP000050,tech_saas,2019,8.9,6.5,7.8,1,0,8.1,1,3,0.0,2.0,25,bootstrapped,33000.0,3300.0,10.0,6.9,0,0,1,6.5,5.0,46,3.4,survived,still_operating,1,0
STP000051,ecommerce,2012,8.3,3.2,4.6,1,1,2.4,0,3,4.9,2.4,39,bootstrapped,24000.0,1100.0,21.8,6.6,0,0,1,6.5,10.0,75,5.5,survived,still_operating,1,0
STP000052,services,2010,6.1,8.3,6.9,0,0,1.9,1,1,3.4,2.3,41,bootstrapped,2000.0,500.0,4.0,4.8,1,0,0,5.3,6.6,70,2.4,ran_out_of_cash,failed,0,1
STP000053,services,2014,5.9,4.7,5.6,0,0,1.2,1,2,3.0,7.5,47,vc_seed,2138000.0,80000.0,26.7,3.0,0,0,0,5.8,5.5,63,3.9,no_market_need,failed,0,1
STP000054,marketplace,2020,3.8,3.5,2.3,0,0,4.5,1,3,8.0,5.8,35,vc_seed,1313000.0,51000.0,25.7,6.6,0,0,0,5.7,3.8,61,2.1,team_conflict,failed,0,1
STP000055,fintech,2009,6.6,6.1,5.2,1,0,6.6,1,3,4.4,4.7,37,vc_seed,731000.0,34100.0,21.4,3.5,0,0,0,8.0,5.6,65,5.8,survived,still_operating,1,0
STP000056,fintech,2010,7.6,4.9,4.8,0,0,5.9,0,2,0.0,3.7,42,bootstrapped,14000.0,500.0,28.0,4.1,0,1,3,3.2,5.5,53,1.9,ran_out_of_cash,failed,0,1
STP000057,healthtech,2011,4.3,4.0,5.3,2,1,24.1,0,2,6.0,8.7,33,vc_seed,844000.0,39100.0,21.6,2.8,0,1,1,3.4,4.2,64,3.9,no_market_need,failed,0,1
STP000058,tech_saas,2009,3.9,4.7,7.7,1,0,10.6,1,4,4.8,5.3,37,angel,364000.0,20500.0,17.8,1.9,0,1,0,3.9,6.5,39,1.6,ran_out_of_cash,failed,0,1
STP000059,ecommerce,2021,8.0,5.9,4.9,0,1,3.5,0,2,0.7,4.0,19,bootstrapped,17000.0,1200.0,14.2,7.6,0,1,0,3.9,5.5,66,16.2,survived,still_operating,1,0
STP000060,tech_saas,2009,4.2,2.0,6.8,0,0,8.4,1,2,4.4,4.2,35,vc_seed,2489000.0,140200.0,17.8,5.9,0,0,1,7.6,5.8,51,1.2,no_market_need,failed,0,1
STP000061,services,2018,1.2,7.0,5.6,1,0,2.8,1,1,5.4,6.0,29,bootstrapped,15000.0,800.0,18.8,9.6,1,0,1,2.3,6.7,55,3.1,no_market_need,failed,0,1
STP000062,biotech,2018,1.1,6.4,6.2,0,0,1.9,1,3,1.3,3.5,48,bootstrapped,35000.0,1100.0,31.8,8.3,0,0,2,9.4,4.4,68,4.7,team_conflict,failed,0,1
STP000063,services,2017,7.4,5.8,4.2,0,0,3.3,1,1,1.6,4.6,33,bootstrapped,92000.0,5500.0,16.7,4.9,0,1,1,3.3,2.3,66,0.6,poor_marketing,failed,0,1
STP000064,tech_saas,2008,2.5,3.5,4.2,0,0,6.2,1,3,0.0,5.7,44,vc_seed,647000.0,26000.0,24.9,6.2,1,0,0,3.5,0.7,77,5.0,team_conflict,failed,1,1
STP000065,agriculture,2012,7.2,4.4,10.0,0,0,0.3,0,2,0.4,3.9,32,angel,91000.0,3300.0,27.6,1.9,0,1,2,2.8,3.1,74,8.1,no_market_need,failed,1,1
STP000066,services,2011,1.9,7.2,4.5,0,0,4.6,1,2,8.5,5.9,28,vc_seed,2606000.0,192600.0,13.5,5.8,0,1,1,6.7,7.7,54,5.0,team_conflict,failed,1,1
STP000067,services,2011,4.0,3.1,5.1,0,1,7.8,0,2,2.4,8.1,28,bootstrapped,7000.0,500.0,14.0,1.0,1,1,0,6.1,8.9,71,18.0,survived,still_operating,1,0
STP000068,tech_saas,2020,2.5,6.5,5.5,0,1,1.7,1,4,6.9,6.5,32,bootstrapped,3000.0,500.0,6.0,2.1,1,1,0,5.4,1.7,32,6.6,no_market_need,failed,1,1
STP000069,tech_saas,2021,8.5,4.8,2.3,0,0,1.1,1,3,7.7,5.6,32,bootstrapped,39000.0,2900.0,13.4,7.7,1,0,2,6.4,0.0,70,8.6,poor_marketing,failed,1,1
STP000070,tech_saas,2017,5.5,4.4,6.3,0,2,4.5,1,3,6.1,4.7,38,angel,269000.0,23600.0,11.4,0.0,1,0,0,6.9,3.6,53,9.0,pricing_cost,failed,1,1
STP000071,ecommerce,2018,4.9,5.5,2.2,0,1,1.8,1,3,2.5,6.9,41,bootstrapped,47000.0,2700.0,17.4,4.1,0,1,1,3.7,7.1,79,5.3,survived,still_operating,1,0
STP000072,fintech,2010,3.5,4.4,5.3,0,1,13.6,1,2,3.8,9.0,46,vc_seed,745000.0,186200.0,4.0,5.6,1,0,1,1.8,6.4,65,11.1,survived,still_operating,1,0
STP000073,tech_saas,2019,4.2,4.4,9.0,0,0,3.6,0,3,7.0,2.4,31,angel,90000.0,5500.0,16.4,2.1,1,0,0,5.3,4.9,51,2.8,outcompeted,failed,0,1
STP000074,services,2020,5.2,10.0,8.7,1,0,3.5,0,1,6.0,6.2,33,angel,263000.0,12100.0,21.7,10.0,1,1,0,8.5,2.5,46,1.5,ran_out_of_cash,failed,0,1
STP000075,consumer_app,2014,5.1,4.4,4.7,0,2,0.8,1,2,2.0,3.9,38,bootstrapped,36000.0,7600.0,4.7,6.0,0,1,1,8.9,5.9,48,0.6,no_market_need,failed,0,1
STP000076,fintech,2015,6.8,2.1,7.2,0,0,9.0,0,2,8.5,3.8,26,bootstrapped,31000.0,1200.0,25.8,8.9,0,1,2,3.0,2.1,63,1.4,ran_out_of_cash,failed,0,1
STP000077,services,2016,7.6,6.4,6.3,0,0,5.2,0,1,3.7,8.3,33,vc_series_a_plus,4390000.0,212300.0,20.7,6.2,1,0,0,5.1,1.7,68,2.5,ran_out_of_cash,failed,0,1
STP000078,healthtech,2015,3.5,3.8,0.9,0,0,8.6,0,1,7.4,4.8,30,vc_seed,2039000.0,73400.0,27.8,1.2,0,0,1,1.7,4.2,70,2.3,no_market_need,failed,0,1
STP000079,healthtech,2010,6.6,5.1,2.5,1,2,0.9,1,4,4.4,3.7,19,bootstrapped,10000.0,500.0,20.0,4.5,1,1,2,4.4,8.8,69,18.0,survived,still_operating,1,0
STP000080,food_bev,2015,6.1,4.4,2.1,0,0,8.5,1,4,5.6,2.3,38,angel,194000.0,6300.0,30.8,1.3,0,1,0,0.8,5.5,38,3.8,no_market_need,failed,0,1
